Feature,Category,Customer_Count,Churn_Count,Churn_Rate
gender,Female,3488,939,26.920871559633024
gender,Male,3555,930,26.160337552742618
SeniorCitizen,Yes,1142,476,41.68126094570928
SeniorCitizen,No,5901,1393,23.606168446026096
Dependents,No,4933,1543,31.279140482465028
Dependents,Yes,2110,326,15.450236966824646
PhoneService,Yes,6361,1699,26.70963684955196
PhoneService,No,682,170,24.926686217008797
MultipleLines,No,4072,1081,26.547151277013754
MultipleLines,Yes,2971,788,26.523056210030294
InternetService,DSL,3947,1082,27.413225234355203
InternetService,Fiber optic,3096,787,25.419896640826874
Contract,Month-to-month,3875,1059,27.32903225806452
Contract,One year,1473,380,25.797691785471827
Contract,Two year,1695,430,25.368731563421832
